appid,genres,type,release_date
730,"[{'id': '1', 'description': 'Action'}, {'id': '37', 'description': 'Free To Play'}]",game,"{'coming_soon': False, 'date': '21 Aug, 2012'}"
1172470,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '37', 'description': 'Free To Play'}]",game,"{'coming_soon': False, 'date': 'Nov 4, 2020'}"
578080,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '37', 'description': 'Free To Play'}]",game,"{'coming_soon': False, 'date': 'Dec 21, 2017'}"
1623730,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}, {'id': '70', 'description': 'Early Access'}]",game,"{'coming_soon': False, 'date': '18 Jan, 2024'}"
440,"[{'id': '1', 'description': 'Action'}, {'id': '37', 'description': 'Free To Play'}]",game,"{'coming_soon': False, 'date': 'Oct 10, 2007'}"
1938090,"[{'id': '1', 'description': 'Action'}]",game,"{'coming_soon': False, 'date': 'Oct 27, 2022'}"
1063730,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '3', 'description': 'RPG'}]",game,"{'coming_soon': False, 'date': 'Sep 28, 2021'}"
2358720,"[{'id': '1', 'description': 'Acción'}, {'id': '25', 'description': 'Aventura'}, {'id': '3', 'description': 'Rol'}]",game,"{'coming_soon': False, 'date': '19 AGO 2024'}"
271590,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]",game,"{'coming_soon': False, 'date': '13 Apr, 2015'}"
550,"[{'id': '1', 'description': 'Action'}]",game,"{'coming_soon': False, 'date': 'Nov 16, 2009'}"
304930,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}, {'id': '37', 'description': 'Free To Play'}]",game,"{'coming_soon': False, 'date': '7 Jul, 2017'}"
1599340,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '3', 'description': 'RPG'}, {'id': '37', 'description': 'Free To Play'}]",game,"{'coming_soon': False, 'date': 'Feb 11, 2022'}"
236390,"[{'id': '1', 'description': 'Action'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '28', 'description': 'Simulation'}, {'id': '37', 'description': 'Free To Play'}]",game,"{'coming_soon': False, 'date': '15 Aug, 2013'}"
2246340,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '3', 'description': 'RPG'}]",game,"{'coming_soon': False, 'date': 'Feb 27, 2025'}"
553850,"[{'id': '1', 'description': 'Akció'}]",game,"{'coming_soon': False, 'date': '2024. febr. 8.'}"
230410,"[{'id': '1', 'description': 'Action'}, {'id': '3', 'description': 'RPG'}, {'id': '37', 'description': 'Free To Play'}]",game,"{'coming_soon': False, 'date': 'Mar 25, 2013'}"
1245620,"[{'id': '1', 'description': 'Action'}, {'id': '3', 'description': 'RPG'}]",game,"{'coming_soon': False, 'date': '24 Feb, 2022'}"
